Id,PetalLengthCm,PetalWidthCm,SepalLengthCm,SepalWidthCm
1,1.4,0.2,5.1,3.5
2,1.4,0.2,4.9,3.0
3,1.3,0.2,4.7,3.2
4,1.5,0.2,4.6,3.1
5,1.4,0.2,5.0,3.6
6,1.7,0.4,5.4,3.9
7,1.4,0.3,4.6,3.4
8,1.5,0.2,5.0,3.4
9,1.4,0.2,4.4,2.9
10,1.5,0.1,4.9,3.1
11,1.5,0.2,5.4,3.7
12,1.6,0.2,4.8,3.4
13,1.4,0.1,4.8,3.0
14,1.1,0.1,4.3,3.0
15,1.2,0.2,5.8,4.0
16,1.5,0.4,5.7,4.4
17,1.3,0.4,5.4,3.9
18,1.4,0.3,5.1,3.5
19,1.7,0.3,5.7,3.8
20,1.5,0.3,5.1,3.8
21,1.7,0.2,5.4,3.4
22,1.5,0.4,5.1,3.7
23,1.0,0.2,4.6,3.6
24,1.7,0.5,5.1,3.3
25,1.9,0.2,4.8,3.4
26,1.6,0.2,5.0,3.0
27,1.6,0.4,5.0,3.4
28,1.5,0.2,5.2,3.5
29,1.4,0.2,5.2,3.4
30,1.6,0.2,4.7,3.2
31,1.6,0.2,4.8,3.1
32,1.5,0.4,5.4,3.4
33,1.5,0.1,5.2,4.1
34,1.4,0.2,5.5,4.2
35,1.5,0.1,4.9,3.1
36,1.2,0.2,5.0,3.2
37,1.3,0.2,5.5,3.5
38,1.5,0.1,4.9,3.1
39,1.3,0.2,4.4,3.0
40,1.5,0.2,5.1,3.4
41,1.3,0.3,5.0,3.5
42,1.3,0.3,4.5,2.3
43,1.3,0.2,4.4,3.2
44,1.6,0.6,5.0,3.5
45,1.9,0.4,5.1,3.8
46,1.4,0.3,4.8,3.0
47,1.6,0.2,5.1,3.8
48,1.4,0.2,4.6,3.2
49,1.5,0.2,5.3,3.7
50,1.4,0.2,5.0,3.3
51,4.7,1.4,7.0,3.2
52,4.5,1.5,6.4,3.2
53,4.9,1.5,6.9,3.1
54,4.0,1.3,5.5,2.3
55,4.6,1.5,6.5,2.8
56,4.5,1.3,5.7,2.8
57,4.7,1.6,6.3,3.3
58,3.3,1.0,4.9,2.4
59,4.6,1.3,6.6,2.9
60,3.9,1.4,5.2,2.7
61,3.5,1.0,5.0,2.0
62,4.2,1.5,5.9,3.0
63,4.0,1.0,6.0,2.2
64,4.7,1.4,6.1,2.9
65,3.6,1.3,5.6,2.9
66,4.4,1.4,6.7,3.1
67,4.5,1.5,5.6,3.0
68,4.1,1.0,5.8,2.7
69,4.5,1.5,6.2,2.2
70,3.9,1.1,5.6,2.5
71,4.8,1.8,5.9,3.2
72,4.0,1.3,6.1,2.8
73,4.9,1.5,6.3,2.5
74,4.7,1.2,6.1,2.8
75,4.3,1.3,6.4,2.9
76,4.4,1.4,6.6,3.0
77,4.8,1.4,6.8,2.8
78,5.0,1.7,6.7,3.0
79,4.5,1.5,6.0,2.9
80,3.5,1.0,5.7,2.6
81,3.8,1.1,5.5,2.4
82,3.7,1.0,5.5,2.4
83,3.9,1.2,5.8,2.7
84,5.1,1.6,6.0,2.7
85,4.5,1.5,5.4,3.0
86,4.5,1.6,6.0,3.4
87,4.7,1.5,6.7,3.1
88,4.4,1.3,6.3,2.3
89,4.1,1.3,5.6,3.0
90,4.0,1.3,5.5,2.5
91,4.4,1.2,5.5,2.6
92,4.6,1.4,6.1,3.0
93,4.0,1.2,5.8,2.6
94,3.3,1.0,5.0,2.3
95,4.2,1.3,5.6,2.7
96,4.2,1.2,5.7,3.0
97,4.2,1.3,5.7,2.9
98,4.3,1.3,6.2,2.9
99,3.0,1.1,5.1,2.5
100,4.1,1.3,5.7,2.8
101,6.0,2.5,6.3,3.3
102,5.1,1.9,5.8,2.7
103,5.9,2.1,7.1,3.0
104,5.6,1.8,6.3,2.9
105,5.8,2.2,6.5,3.0
106,6.6,2.1,7.6,3.0
107,4.5,1.7,4.9,2.5
108,6.3,1.8,7.3,2.9
109,5.8,1.8,6.7,2.5
110,6.1,2.5,7.2,3.6
111,5.1,2.0,6.5,3.2
112,5.3,1.9,6.4,2.7
113,5.5,2.1,6.8,3.0
114,5.0,2.0,5.7,2.5
115,5.1,2.4,5.8,2.8
116,5.3,2.3,6.4,3.2
117,5.5,1.8,6.5,3.0
118,6.7,2.2,7.7,3.8
119,6.9,2.3,7.7,2.6
120,5.0,1.5,6.0,2.2
121,5.7,2.3,6.9,3.2
122,4.9,2.0,5.6,2.8
123,6.7,2.0,7.7,2.8
124,4.9,1.8,6.3,2.7
125,5.7,2.1,6.7,3.3
126,6.0,1.8,7.2,3.2
127,4.8,1.8,6.2,2.8
128,4.9,1.8,6.1,3.0
129,5.6,2.1,6.4,2.8
130,5.8,1.6,7.2,3.0
131,6.1,1.9,7.4,2.8
132,6.4,2.0,7.9,3.8
133,5.6,2.2,6.4,2.8
134,5.1,1.5,6.3,2.8
135,5.6,1.4,6.1,2.6
136,6.1,2.3,7.7,3.0
137,5.6,2.4,6.3,3.4
138,5.5,1.8,6.4,3.1
139,4.8,1.8,6.0,3.0
140,5.4,2.1,6.9,3.1
141,5.6,2.4,6.7,3.1
142,5.1,2.3,6.9,3.1
143,5.1,1.9,5.8,2.7
144,5.9,2.3,6.8,3.2
145,5.7,2.5,6.7,3.3
146,5.2,2.3,6.7,3.0
147,5.0,1.9,6.3,2.5
148,5.2,2.0,6.5,3.0
149,5.4,2.3,6.2,3.4
150,5.1,1.8,5.9,3.0
